District,Primary Type,0
15.0,CONCEALED CARRY LICENSE VIOLATION,0.0184314809695
15.0,CRIM SEXUAL ASSAULT,0.377845359875
15.0,CRIMINAL DAMAGE,7.65828034283
15.0,CRIMINAL TRESPASS,3.06884158142
15.0,DECEPTIVE PRACTICE,2.82001658833
15.0,GAMBLING,0.645101833932
15.0,HOMICIDE,0.239609252603
15.0,INTERFERENCE WITH PUBLIC OFFICER,0.893926827021
15.0,INTIMIDATION,0.0460787024237
15.0,KIDNAPPING,0.0645101833932
15.0,LIQUOR LAW VIOLATION,0.0645101833932
15.0,MOTOR VEHICLE THEFT,3.35452953645
15.0,NARCOTICS,25.0852455995
15.0,OFFENSE INVOLVING CHILDREN,0.645101833932
15.0,OTHER OFFENSE,5.8612109483
15.0,PROSTITUTION,1.07824163672
15.0,PUBLIC PEACE VIOLATION,1.45608699659
15.0,ROBBERY,3.64021749148
15.0,SEX OFFENSE,0.17509906921
15.0,STALKING,0.0276472214542
15.0,THEFT,11.2800663533
15.0,WEAPONS VIOLATION,1.26255644641
16.0,ARSON,0.114025085519
16.0,ASSAULT,5.18180666413
16.0,BATTERY,15.1273280122
16.0,BURGLARY,5.8532877233
16.0,CONCEALED CARRY LICENSE VIOLATION,0.0126694539465
16.0,CRIM SEXUAL ASSAULT,0.228050171038
16.0,CRIMINAL DAMAGE,12.314709236
16.0,CRIMINAL TRESPASS,3.82617509185
16.0,DECEPTIVE PRACTICE,6.5881160522
16.0,HOMICIDE,0.0886861776257
16.0,INTERFERENCE WITH PUBLIC OFFICER,0.190041809198
16.0,INTIMIDATION,0.0380083618396
16.0,KIDNAPPING,0.152033447358
16.0,LIQUOR LAW VIOLATION,0.152033447358
16.0,MOTOR VEHICLE THEFT,4.26960597998
16.0,NARCOTICS,6.17002407196
16.0,NON - CRIMINAL,0.0126694539465
16.0,NON-CRIMINAL,0.0253389078931
16.0,OBSCENITY,0.0126694539465
16.0,OFFENSE INVOLVING CHILDREN,0.924870138097
16.0,OTHER OFFENSE,12.6821234005
16.0,PROSTITUTION,0.240719624984
16.0,PUBLIC PEACE VIOLATION,0.582794881541
16.0,ROBBERY,1.14025085519
16.0,SEX OFFENSE,0.354744710503
16.0,STALKING,0.0633472697327
16.0,THEFT,23.1090839985
16.0,WEAPONS VIOLATION,0.544786519701
17.0,ARSON,0.214168039539
